,Species,DNA,Human,WILD_CAUGHT,LAB_COLONY,WILDEGG_LABGROWN,UNSURE
0,Aedes aegypti,76,123,72,127,0,0
1,Aedes albopictus,148,0,148,0,0,0
2,Aedes atlanticus,16,0,16,0,0,0
3,Aedes canadensis,1,33,34,0,0,0
4,Aedes cantator,0,2,2,0,0,0
5,Aedes condolescens,2,0,2,0,0,0
6,Aedes dorsalis,22,33,55,0,0,0
7,Aedes fairfax-1,1,0,1,0,0,0
8,Aedes flavescens,0,16,16,0,0,0
9,Aedes hendersoni,4,0,4,0,0,0
10,Aedes infirmatus,17,4,21,0,0,0
11,Aedes japonicus,25,225,32,0,111,107
12,Aedes mediovittatus,1,25,3,23,0,0
13,Aedes melanimon,3,2,5,0,0,0
14,Aedes nigromaculis,0,7,7,0,0,0
15,Aedes sierrensis,0,2,2,0,0,0
16,Aedes sollicitans,36,55,91,0,0,0
17,Aedes spilotus,0,1,1,0,0,0
18,Aedes sticticus,1,0,1,0,0,0
19,Aedes taeniorhynchus,27,8,35,0,0,0
20,Aedes tortilis,4,0,4,0,0,0
21,Aedes triseriatus_sl,17,1,18,0,0,0
22,Aedes trivittatus,13,16,29,0,0,0
23,Aedes vexans,58,25,83,0,0,0
24,Anopheles cf-coustani,2,0,2,0,0,0
25,Anopheles coustani,10,15,25,0,0,0
26,Anopheles crucians_sl,34,22,56,0,0,0
27,Anopheles freeborni,0,119,119,0,0,0
28,Anopheles funestus_sl,180,47,227,0,0,0
29,Anopheles gambiae_sl,214,2,216,0,0,0
30,Anopheles maculipalpis,4,2,6,0,0,0
31,Anopheles pharoensis,1,0,1,0,0,0
32,Anopheles pretoriensis,0,2,2,0,0,0
33,Anopheles pseudopunctipennis,0,10,10,0,0,0
34,Anopheles punctipennis,38,6,44,0,0,0
35,Anopheles quadrimaculatus,37,0,37,0,0,0
36,Anopheles rufipes,0,2,2,0,0,0
37,Anopheles squamosus,3,0,3,0,0,0
38,Anopheles tenebrosus,0,1,1,0,0,0
39,Anopheles ziemanni,0,7,7,0,0,0
40,Coquillettidia perturbans,20,32,52,0,0,0
41,Culex antillummagnorum,0,8,8,0,0,0
42,Culex bahamensis,1,0,1,0,0,0
43,Culex coronator,12,0,12,0,0,0
44,Culex erraticus,70,1,71,0,0,0
45,Culex nigripalpus,7,9,16,0,0,0
46,Culex pipiens_sl,73,252,325,0,0,0
47,Culex restuans,18,0,18,0,0,0
48,Culex salinarius,32,0,32,0,0,0
49,Culex tarsalis,0,3,3,0,0,0
50,Culex territans,2,0,2,0,0,0
51,Culiseta incidens,0,10,10,0,0,0
52,Culiseta inornata,0,10,10,0,0,0
53,Culiseta melanura,1,0,1,0,0,0
54,Deinocerites cancer,8,0,8,0,0,0
55,Deinocerites cuba-1,15,0,15,0,0,0
56,Mansonia titillans,12,7,19,0,0,0
57,Orthopodomyia signifera,3,0,3,0,0,0
58,Psorophora ciliata,19,10,29,0,0,0
59,Psorophora columbiae,70,19,89,0,0,0
60,Psorophora cyanescens,0,78,78,0,0,0
61,Psorophora discolor,0,2,2,0,0,0
62,Psorophora ferox,40,4,44,0,0,0
63,Psorophora howardii,3,0,3,0,0,0
64,Psorophora pygmaea,29,1,30,0,0,0
65,Psorophora signipennis,0,5,5,0,0,0
66,Uranotaenia sapphirina,2,0,2,0,0,0
